ROUTE NAME,SERVICE LOCATIONS
PAM01,1204
PAM02,961
PAM03,1014
PAM04,1042
PAM05,1029
PAM06,1076
PAM50,1126
PAM51,1263
PAM52,916
PAM53,1094
PAM54,1046
PAM60,1073
PAM61,1217
PAM62,1191
PAM63,961
PAM64,1033
PAM65,933
PAM70,1169
PAM71,715
PAM72,1215
PAM73,1020
PAM74,1474
PAM75,974
PAM80,961
PAM81,858
PAM82,945
PAM83,988
PAM84,1062
PAM85,1415
PM10,968
PM11,796
PM12,959
PM20,1237
PM21,1365
PM22,1065
PM30,851
PM31,907
PM32,862
PM40,933
PM41,735
PM42,1091
PAT01,1024
PAT02,961
PAT03,1020
PAT04,1239
PAT50,1338
PAT51,1310
PAT52,1100
PAT53,1150
PAT54,1177
PAT60,1189
PAT61,1284
PAT62,1243
PAT63,1036
PAT70,1027
PAT71,1125
PAT72,1018
PAT73,1021
PAT74,961
PAT80,977
PAT81,1018
PAT82,1079
PAT83,1060
PAT84,1195
PT10,966
PT11,423
PT20,1064
PT21,1165
PT30,1332
PT31,878
PT40,439
PT41,452
PT42,481
PAW01,1157
PAW02,1045
PAW03,777
PAW04,740
PAW05,963
PAW06,1384
PAW50,1574
PAW51,1651
PAW52,1128
PAW53,1394
PAW54,1144
PAW55,1065
PAW60,889
PAW61,932
PAW62,1091
PAW63,1010
PAW64,1057
PAW70,988
PAW71,840
PAW72,907
PAW73,1086
PAW74,1556
PAW80,1106
PAW81,906
PAW82,997
PAW83,920
PAW84,571
PAW85,1184
PW10,1229
PW11,1027
PW12,1034
PW20,1045
PW21,1111
PW22,953
PW30,1322
PW31,760
PW32,1376
PW40,830
PW41,918
PAH01,1323
PAH02,991
PAH03,1261
PAH04,1023
PAH05,1107
PAH06,909
PAH50,1101
PAH51,951
PAH52,921
PAH53,795
PAH54,1158
PAH60,1054
PAH61,935
PAH62,1000
PAH63,1346
PAH64,1172
PAH65,1228
PAH70,1022
PAH71,849
PAH72,829
PAH73,954
PAH74,1012
PAH75,1183
PAH80,937
PAH81,1099
PAH82,1438
PAH83,1037
PAH84,924
PH10,972
PH11,710
PH12,860
PH20,679
PH21,930
PH30,915
PH31,951
PH32,967
PH40,980
PH41,776
PH42,1015
PAF01,1052
PAF02,1000
PAF03,1181
PAF04,992
PAF50,1137
PAF51,1142
PAF52,1463
PAF53,1246
PAF54,1212
PAF60,1201
PAF61,1204
PAF62,1221
PAF63,1745
PAF70,1187
PAF71,808
PAF72,802
PAF73,855
PAF80,868
PAF81,881
PAF82,821
PAF83,873
PF10,1761
PF11,1170
PF13,963
PF20,1342
PF21,1214
PF22,724
PF30,1199
PF32,1086
PF33,1465
PF40,850
PF41,1295
